iter        J                  ΔJ                   |d|             α       
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
201   1031.0796745967725    0.3204588924818322   0.7098564566027691    1.0 
202   1030.751809034548    0.4626442163943237   1.6479052641487042    1.0 
203   1030.3057611283768    0.36498219286631783   0.7438903547380381    1.0 
204   1029.9331582146651    0.36665493172313474   0.7588684301329683    1.0 
205   1029.5602611957497    0.46984832585361597   1.5332261281028998    1.0 
206   1029.0985680216577    0.4450543955528242   0.9617920476767852    1.0 
207   1028.6508021926022    1.3052688129538483   7.868987264333495    1.0 
208   1027.724365434875    0.3388747886328858   0.8569992689477134    1.0 
209   1027.3800565260906    0.48145917239986996   0.7315508754600822    1.0 
210   1026.8943066050226    0.3488700329009579   0.7592146488030814    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
211   1026.5378587462635    0.373964595544828   0.7008074727092632    1.0 
212   1026.1581160263306    0.39009390828918705   0.8495914873364327    1.0 
213   1025.7702969852667    0.361419745825216   0.6777808754897858    1.0 
214   1025.4034755139382    0.4470375553695043   1.084548859047206    1.0 
215   1024.9577108666042    0.43879709573635345   0.9796802268966178    1.0 
216   1024.5168639491346    1.2002743150466204   7.829285118678089    1.0 
217   1023.7258946509304    0.34323374379041127   0.7722769370360398    1.0 
218   1023.3777772822026    0.3090322669579002   0.7290694664171312    1.0 
219   1023.0617442938851    0.40026518362552777   1.3033314487502876    1.0 
220   1022.665266946199    0.3379138306247653   0.7197715755071331    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
221   1022.3194269091155    0.36676738746950494   0.6703516609813235    1.0 
222   1021.9447276342376    0.3679664030724763   0.7473196191330991    1.0 
223   1021.571764848415    0.36188373232264437   0.7131007178721103    1.0 
224   1021.2041569860262    0.357116364183525   0.6737967626134007    1.0 
225   1020.8407418903215    0.44795466832937403   1.042713882543752    1.0 
226   1020.3919458031429    0.4464392982980812   0.9468028149996484    1.0 
227   1019.9432681474742    1.129031193787917   7.531515183755796    1.0 
228   1019.1947919911595    0.370740635162934   0.7379424870020166    1.0 
229   1018.8292447806444    0.5844948568219004   1.8608538959725127    1.0 
230   1018.3075677568505    0.9718862312945807   0.9222803910476653    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
231   1017.4379377595475    0.461490781486544   0.8626863643937567    1.0 
232   1016.9719729514562    0.4281927587725886   0.9011745906648949    1.0 
233   1016.5365673029441    0.5122200636536286   1.0666750925757071    1.0 
234   1016.0208355362785    0.4788022024268407   0.9659944299501552    1.0 
235   1015.5384815959455    1.242405465500805   7.757310963899918    1.0 
236   1014.7002366641974    0.41517839235779486   0.8599491961261164    1.0 
237   1014.2788379745422    0.6042007944356378   1.4032933810884722    1.0 
238   1013.724589635032    0.4744019303280336   0.8040806669337357    1.0 
239   1013.2377474203977    0.46903758873362117   0.843839747264549    1.0 
240   1012.7560782090097    0.46137714260101953   0.8586503088656775    1.0 
iter        J                  ΔJ                   |d|             α       
-----------------------------------------------------------------------------
241   1012.2847968959009    0.5415205308831961   1.1400545276386205    1.0 
242   1011.7374606582418    0.5049149894417169   1.0317636678356967    1.0 
243   1011.229186781983    1.3317867366197567   8.292008927735944    1.0 
244   1010.3236347345975    0.45969213025465955   2.5247552394660295    1.0 
245   1009.8896763913721    0.4970902751599171   1.2244151994777446    1.0 
246   1009.3908946885581    0.5055761191052683   0.9714428012256374    1.0 
247   1008.8819416310704    0.5435281884311611   1.4193330487858127    1.0 
248   1008.3720623281023    0.4241601064091999   0.85604101860192    1.0 
249   1007.9366615170966    2.809350450463116   10.96866389390854    1.0 
250   1006.0331530907711    0.5001887671416336   1.2677709636447132    1.0 
